sample_size,contamination_prop,contamination_type,model,coverage_probability,average_ci_width
50,0.5,biased,t,0.0,3.4978826
50,0.5,biased,BBmean,0.0,2.7762735
50,0.5,biased,BBtrim,0.0,4.333872
100,0.0,unbiased,normal,0.945,0.39289224
100,0.0,unbiased,cont,0.945,0.3925709
100,0.0,unbiased,t,0.943,0.39230683
100,0.0,unbiased,BBmean,0.947,0.3849549
100,0.0,unbiased,BBtrim,0.952,0.4195022
100,0.0,biased,normal,0.95,0.39501187
100,0.0,biased,cont,0.955,0.3938749
100,0.0,biased,t,0.937,0.39394233
100,0.0,biased,BBmean,0.958,0.38699058
100,0.0,biased,BBtrim,0.953,0.42089665
100,0.1,unbiased,normal,0.954,1.2848394
100,0.1,unbiased,cont,0.95,0.43939435
100,0.1,unbiased,t,0.937,0.44607604
100,0.1,unbiased,BBmean,0.905,1.2818967
100,0.1,unbiased,BBtrim,0.957,0.47650805
100,0.1,biased,normal,0.0,1.2547477
100,0.1,biased,cont,0.96,0.42967987
100,0.1,biased,t,0.936,0.44579583
100,0.1,biased,BBmean,0.0,1.2221739
100,0.1,biased,BBtrim,0.775,0.49839848
100,0.2,unbiased,normal,0.955,1.7841641
100,0.2,unbiased,cont,0.936,0.47978878
100,0.2,unbiased,t,0.92,0.49521327
100,0.2,unbiased,BBmean,0.932,1.7719827
100,0.2,unbiased,BBtrim,0.949,0.5527777
100,0.2,biased,normal,0.0,1.6393081
100,0.2,biased,cont,0.933,0.46813154
100,0.2,biased,t,0.902,0.504729
100,0.2,biased,BBmean,0.0,1.5958908
100,0.2,biased,BBtrim,0.187,1.5406487
100,0.3,unbiased,normal,0.942,2.161993
100,0.3,unbiased,cont,0.943,0.53665507
100,0.3,unbiased,t,0.94,0.56919134
100,0.3,unbiased,BBmean,0.925,2.1363351
100,0.3,unbiased,BBtrim,0.945,0.7155616
100,0.3,biased,normal,0.0,1.857467
100,0.3,biased,cont,0.898,0.56377167
100,0.3,biased,t,0.874,0.60188
100,0.3,biased,BBmean,0.0,1.8126934
100,0.3,biased,BBtrim,0.0,2.7306962
100,0.4,unbiased,normal,0.958,2.4930317
100,0.4,unbiased,cont,0.95,0.6022305
100,0.4,unbiased,t,0.964,0.6819897
100,0.4,unbiased,BBmean,0.936,2.4548223
100,0.4,unbiased,BBtrim,0.959,1.0503461
100,0.4,biased,normal,0.0,1.9790108
100,0.4,biased,cont,0.714,0.8459625
100,0.4,biased,t,0.045,2.3454535
100,0.4,biased,BBmean,0.0,1.9361295
100,0.4,biased,BBtrim,0.0,2.9997168
100,0.5,unbiased,normal,0.938,2.8001587
100,0.5,unbiased,cont,0.944,0.7035114
100,0.5,unbiased,t,0.981,0.91462
100,0.5,unbiased,BBmean,0.918,2.7547333
100,0.5,unbiased,BBtrim,0.955,1.5623777
100,0.5,biased,normal,0.0,2.0211322
100,0.5,biased,cont,0.519,1.3832412
100,0.5,biased,t,0.0,2.3068907
100,0.5,biased,BBmean,0.0,1.9774182
100,0.5,biased,BBtrim,0.0,3.0829077
250,0.0,unbiased,normal,0.954,0.2470893
250,0.0,unbiased,cont,0.947,0.24601811
250,0.0,unbiased,t,0.942,0.24667011
250,0.0,unbiased,BBmean,0.956,0.24523754
250,0.0,unbiased,BBtrim,0.952,0.26373845
250,0.0,biased,normal,0.955,0.24701609
250,0.0,biased,cont,0.951,0.24668594
250,0.0,biased,t,0.943,0.24683826
250,0.0,biased,BBmean,0.953,0.2455208
250,0.0,biased,BBtrim,0.949,0.2644082
250,0.1,unbiased,normal,0.955,0.8105129
250,0.1,unbiased,cont,0.949,0.27365825
250,0.1,unbiased,t,0.942,0.2818141
250,0.1,unbiased,BBmean,0.938,0.8132543
250,0.1,unbiased,BBtrim,0.959,0.29916614
250,0.1,biased,normal,0.0,0.7850081
250,0.1,biased,cont,0.952,0.26850322
250,0.1,biased,t,0.921,0.282281
250,0.1,biased,BBmean,0.0,0.77723193
250,0.1,biased,BBtrim,0.447,0.31130576
250,0.2,unbiased,normal,0.962,1.1183562
250,0.2,unbiased,cont,0.959,0.29950553
250,0.2,unbiased,t,0.936,0.31271732
250,0.2,unbiased,BBmean,0.955,1.117579
250,0.2,unbiased,BBtrim,0.954,0.34427905
250,0.2,biased,normal,0.0,1.0238271
250,0.2,biased,cont,0.917,0.2906937
250,0.2,biased,t,0.863,0.31807166
250,0.2,biased,BBmean,0.0,1.014564
250,0.2,biased,BBtrim,0.008,0.9505555
250,0.3,unbiased,normal,0.951,1.3704153
250,0.3,unbiased,cont,0.948,0.33303043
